From,To,Distance
Customer 0,Customer 2349221,1.03
Customer 2349221,Customer 0,1.03
Customer 2349221,Customer 1720666,0.74
Customer 1720666,Customer 2349221,0.74
Customer 2349221,Customer 935442,1.04
Customer 935442,Customer 2349221,1.04
Customer 2349221,Customer 2119726,1.04
Customer 2119726,Customer 2349221,1.04
Customer 2349221,Customer 1898768,0.77
Customer 1898768,Customer 2349221,0.77
Customer 2349221,Customer 2977295,2.08
Customer 2977295,Customer 2349221,2.08
Customer 2349221,Customer 98750,0.85
Customer 98750,Customer 2349221,0.85
Customer 2349221,Customer 1967889,0.9
Customer 1967889,Customer 2349221,0.9
Customer 2349221,Customer 512980,1.96
Customer 512980,Customer 2349221,1.96
Customer 2349221,Customer 1163945,1.01
Customer 1163945,Customer 2349221,1.01
Customer 2349221,Customer 4312189,0.6
Customer 4312189,Customer 2349221,0.6
Customer 2349221,Customer 2918628,1.75
Customer 2918628,Customer 2349221,1.75
Customer 2349221,Customer 2752609,0.97
Customer 2752609,Customer 2349221,0.97
Customer 2349221,Customer 689448,1.14
Customer 689448,Customer 2349221,1.14
Customer 2349221,Customer 619869,5.36
Customer 619869,Customer 2349221,5.36
Customer 2349221,Customer 323232,1.34
Customer 323232,Customer 2349221,1.34
Customer 2349221,Customer 3143754,0.17
Customer 3143754,Customer 2349221,0.17
Customer 2349221,Customer 2686188,1.58
Customer 2686188,Customer 2349221,1.58
Customer 2349221,Customer 66954,2.81
Customer 66954,Customer 2349221,2.81
Customer 2349221,Customer 1331947,0.99
Customer 1331947,Customer 2349221,0.99
Customer 2349221,Customer 2561510,8.04
Customer 2561510,Customer 2349221,8.04
Customer 2349221,Customer 3639929,2.7
Customer 3639929,Customer 2349221,2.7
Customer 2349221,Customer 884300,1.26
Customer 884300,Customer 2349221,1.26
Customer 2349221,Customer 1972934,2.02
Customer 1972934,Customer 2349221,2.02
Customer 2349221,Customer 3024356,1.26
Customer 3024356,Customer 2349221,1.26
Customer 0,Customer 1720666,1.75
Customer 1720666,Customer 0,1.75
Customer 1720666,Customer 935442,1.79
Customer 935442,Customer 1720666,1.79
Customer 1720666,Customer 2119726,1.73
Customer 2119726,Customer 1720666,1.73
Customer 1720666,Customer 1898768,1.39
Customer 1898768,Customer 1720666,1.39
Customer 1720666,Customer 2977295,1.8
Customer 2977295,Customer 1720666,1.8
Customer 1720666,Customer 98750,0.39
Customer 98750,Customer 1720666,0.39
Customer 1720666,Customer 1967889,1.33
Customer 1967889,Customer 1720666,1.33
Customer 1720666,Customer 512980,2.53
Customer 512980,Customer 1720666,2.53
Customer 1720666,Customer 1163945,1.59
Customer 1163945,Customer 1720666,1.59
Customer 1720666,Customer 4312189,0.62
Customer 4312189,Customer 1720666,0.62
Customer 1720666,Customer 2918628,2.3
Customer 2918628,Customer 1720666,2.3
Customer 1720666,Customer 2752609,1.31
Customer 2752609,Customer 1720666,1.31
Customer 1720666,Customer 689448,0.89
Customer 689448,Customer 1720666,0.89
Customer 1720666,Customer 619869,5.96
Customer 619869,Customer 1720666,5.96
Customer 1720666,Customer 323232,1.99
Customer 323232,Customer 1720666,1.99
Customer 1720666,Customer 3143754,0.91
Customer 3143754,Customer 1720666,0.91
Customer 1720666,Customer 2686188,2.05
Customer 2686188,Customer 1720666,2.05
Customer 1720666,Customer 66954,3.49
Customer 66954,Customer 1720666,3.49
Customer 1720666,Customer 1331947,0.34
Customer 1331947,Customer 1720666,0.34
Customer 1720666,Customer 2561510,7.82
Customer 2561510,Customer 1720666,7.82
Customer 1720666,Customer 3639929,2.96
Customer 3639929,Customer 1720666,2.96
Customer 1720666,Customer 884300,0.56
Customer 884300,Customer 1720666,0.56
Customer 1720666,Customer 1972934,2.46
Customer 1972934,Customer 1720666,2.46
Customer 1720666,Customer 3024356,0.55
Customer 3024356,Customer 1720666,0.55
Customer 0,Customer 935442,0.28
Customer 935442,Customer 0,0.28
Customer 935442,Customer 2119726,0.61
Customer 2119726,Customer 935442,0.61
Customer 935442,Customer 1898768,0.83
Customer 1898768,Customer 935442,0.83
Customer 935442,Customer 2977295,2.72
Customer 2977295,Customer 935442,2.72
Customer 935442,Customer 98750,1.86
Customer 98750,Customer 935442,1.86
Customer 935442,Customer 1967889,1.21
Customer 1967889,Customer 935442,1.21
Customer 935442,Customer 512980,1.53
Customer 512980,Customer 935442,1.53
Customer 935442,Customer 1163945,0.94
Customer 1163945,Customer 935442,0.94
Customer 935442,Customer 4312189,1.45
Customer 4312189,Customer 935442,1.45
Customer 935442,Customer 2918628,1.44
Customer 2918628,Customer 935442,1.44
Customer 935442,Customer 2752609,1.24
Customer 2752609,Customer 935442,1.24
Customer 935442,Customer 689448,2.0
Customer 689448,Customer 935442,2.0
Customer 935442,Customer 619869,4.52
Customer 619869,Customer 935442,4.52
Customer 935442,Customer 323232,0.71
Customer 323232,Customer 935442,0.71
Customer 935442,Customer 3143754,0.89
Customer 3143754,Customer 935442,0.89
Customer 935442,Customer 2686188,1.32
Customer 2686188,Customer 935442,1.32
Customer 935442,Customer 66954,2.01
Customer 66954,Customer 935442,2.01
Customer 935442,Customer 1331947,2.02
Customer 1331947,Customer 935442,2.02
Customer 935442,Customer 2561510,8.37
Customer 2561510,Customer 935442,8.37
Customer 935442,Customer 3639929,2.58
Customer 3639929,Customer 935442,2.58
Customer 935442,Customer 884300,2.29
Customer 884300,Customer 935442,2.29
Customer 935442,Customer 1972934,1.7
Customer 1972934,Customer 935442,1.7
Customer 935442,Customer 3024356,2.29
Customer 3024356,Customer 935442,2.29
Customer 0,Customer 2119726,0.86
Customer 2119726,Customer 0,0.86
Customer 2119726,Customer 1898768,0.39
Customer 1898768,Customer 2119726,0.39
Customer 2119726,Customer 2977295,3.04
Customer 2977295,Customer 2119726,3.04
Customer 2119726,Customer 98750,1.67
Customer 98750,Customer 2119726,1.67
Customer 2119726,Customer 1967889,0.73
Customer 1967889,Customer 2119726,0.73
Customer 2119726,Customer 512980,1.01
Customer 512980,Customer 2119726,1.01
Customer 2119726,Customer 1163945,0.37
Customer 1163945,Customer 2119726,0.37
Customer 2119726,Customer 4312189,1.61
Customer 4312189,Customer 2119726,1.61
Customer 2119726,Customer 2918628,0.87
Customer 2918628,Customer 2119726,0.87
Customer 2119726,Customer 2752609,1.65
Customer 2752609,Customer 2119726,1.65
Customer 2119726,Customer 689448,1.67
Customer 689448,Customer 2119726,1.67
Customer 2119726,Customer 619869,5.05
Customer 619869,Customer 2119726,5.05
Customer 2119726,Customer 323232,1.32
Customer 323232,Customer 2119726,1.32
Customer 2119726,Customer 3143754,0.88
Customer 3143754,Customer 2119726,0.88
Customer 2119726,Customer 2686188,1.89
Customer 2686188,Customer 2119726,1.89
Customer 2119726,Customer 66954,1.77
Customer 66954,Customer 2119726,1.77
Customer 2119726,Customer 1331947,1.88
